timestamp_utc,cycle_id,station_id,station_name,aq_id,lat,lon,speed_kmh,free_flow_speed_kmh,current_travel_time_s,free_flow_travel_time_s,density_cars_per_km,cars_per_hour,congestion_percent,co2_kg_per_hour,pm25_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,co_ugm3,so2_ugm3,nh3_ugm3,air_index,waqi_aqi,temperature_c,feels_like_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_deg,clouds_percent,visibility_m,weather_desc,population_exposure_index,dist_to_chp_km,heating_season,downwind_of_chp,traffic_source,air_source,weather_source
2026-08-12T07:53:54+00:00,20260812T075354Z,school169,169 School,2812691,43.29713,76.8611,32,43,1103,821,51.16,1637.2,25.6,196.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.97,35.26,12,1005,1.71,42,100,10000,overcast clouds,10.19,4.64,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,school190,School 190,2812753,43.15476,76.8992,38,38,994,994,0.0,0.0,0.0,0.0,9.65,13.34,0.19,80.05,70.61,0.05,0.43,13.4,4,31.6,30.17,28,1011,2.29,14,100,10000,overcast clouds,10.64,17.07,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,ryskulova81,Ryskulova 81,2812749,43.27865,76.90347,39,54,673,486,55.56,2166.7,27.8,260.0,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.47,35,14,1006,1.6,28,100,10000,overcast clouds,10.31,8.16,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,ritzpalace,Ritz Palace,2812716,43.22833,76.96028,25,32,1552,1213,43.75,1093.8,21.9,131.2,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,35.07,33.12,20,1008,2.19,348,100,10000,overcast clouds,9.98,14.47,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,mamyr3,Mamyr-3,2812717,43.21431,76.8555,44,67,1567,1029,68.66,3020.9,34.3,362.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,36.04,33.96,18,1007,1.87,36,100,10000,overcast clouds,10.66,9.55,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,nicolas,Nicolas,2812769,43.19365,76.90963,44,67,1567,1029,68.66,3020.9,34.3,362.5,9.65,13.34,0.19,80.05,70.61,0.05,0.43,13.4,4,34.21,32.39,22,1009,2.18,354,100,10000,overcast clouds,12.51,13.85,0,1,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,kbtu,KBTU,2812687,43.25348,76.94537,30,40,1844,1383,50.0,1500.0,25.0,180.0,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,36.22,34.03,17,1008,2.03,352,100,10000,overcast clouds,10.15,12.19,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,respublika4,Respublika 4,2812784,43.2368,76.94481,26,37,2449,1720,59.46,1545.9,29.7,185.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,35.07,33.12,20,1008,2.19,348,100,10000,overcast clouds,10.41,12.92,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,gimnaz152,Gimnaziya 152,2819078,43.30173,76.87217,32,43,1103,821,51.16,1637.2,25.6,196.5,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,37.97,35.26,12,1005,1.71,42,100,10000,overcast clouds,10.19,5.61,0,0,tomtom,openweathermap+waqi,openweathermap
2026-08-12T07:53:54+00:00,20260812T075354Z,asiafood,AsiaFood,2812809,43.24283,76.82872,41,41,24,24,0.0,0.0,0.0,0.0,7.8,10.83,0.57,86.64,75.01,0.43,1.09,13.01,4,36.93,34.55,15,1006,2.01,49,100,10000,overcast clouds,8.78,5.78,0,0,tomtom,openweathermap+waqi,openweathermap
